id,name,type,production,year,sex,birth,ethnicity,frequency
BeckinsaleKate,Kate Beckinsale,1,99,99,1,3,2,3
BladeRunner,Blade Runner,0,5,1,99,99,99,99
Emma,Emma,0,1,2,99,99,99,99
EvenCowgirlsGetTheBlues,Even Cowgirls Get the Blues,0,5,2,99,99,99,99
Frida,Frida,0,1,3,99,99,99,99
HannahDaryl,Daryl Hannah,1,99,99,1,1,7,2
HayekSalma,Salma Hayek,1,99,99,1,2,7,2
HeadeyLena,Lena Headey,1,99,99,1,3,2,2
JuddAshley,Ashley Judd,1,99,99,1,2,7,2
KillBillVol1,Kill Bill: Vol. 1,0,1,3,99,99,99,99
McGowanRose,Rose McGowan,1,99,99,1,3,3,3
NielsenConnie,Connie Nielsen,1,99,99,1,2,2,2
NymphomaniacVol1,Nymphomaniac: Vol. 1,0,5,4,99,99,99,99
PaltrowGwyneth,Gwyneth Paltrow,1,99,99,1,3,7,3
Possession,Possession,0,5,3,99,99,99,99
TheGoldenBowl,The Golden Bowl,0,1,3,99,99,99,99
ThurmanUma,Uma Thurman,1,99,99,1,2,7,3
WallStreet,Wall Street,0,5,1,99,99,99,99
YoungSean,Sean Young,1,99,99,1,1,7,2
